location,total_sqft,size,price
Pattandur Agrahara,1550.0,3,80.0
Bellandur,1200.0,4,325.0
Other,1800.0,7,250.0
Marathahalli,1200.0,2,60.0
Yelahanka,1327.0,2,98.0
Kothanur,1186.0,2,58.0
Other,1783.0,3,115.0
HSR Layout,1400.0,3,56.0
Nagasandra,980.0,2,48.0
EPIP Zone,1285.0,2,82.0
Other,912.0,3,70.0
Whitefield,1225.0,2,47.6
Whitefield,1075.0,2,53.0
Kadugodi,1260.0,3,54.0
Yelahanka,1282.0,3,48.7
Kogilu,1909.0,3,88.0
Panathur,1359.0,2,87.0
Other,1207.0,2,43.5
Padmanabhanagar,1736.0,4,190.0
1st Block Jayanagar,2850.0,4,428.0
Kammasandra,1595.0,3,65.0
Other,1798.0,3,89.0
Electronics City Phase 1,1475.0,3,78.29
Other,1580.0,3,100.0
Dasarahalli,1295.0,2,65.0
Magadi Road,3600.0,6,141.0
Electronic City,589.0,1,27.0
Other,1415.0,3,78.0
Sarjapur  Road,1787.0,3,98.29
Sarjapur  Road,1787.0,3,125.0
Koramangala,1475.0,3,90.0
Other,2000.0,4,75.5
Sarjapur  Road,984.0,2,44.28
Devanahalli,1630.0,3,74.82
Other,2405.0,3,260.0
7th Phase JP Nagar,1080.0,2,72.0
Other,1500.0,2,115.0
Hebbal,1900.0,3,119.0
Dommasandra,805.0,2,22.14
Budigere,1153.0,2,56.4
Other,1148.0,2,60.0
Other,1110.0,2,55.0
Electronic City,1100.0,2,42.0
Kalyan nagar,1290.0,2,110.0
Other,1500.0,3,65.0
Other,1080.0,2,39.0
Vijayanagar,1933.0,3,129.0
Ramamurthy Nagar,3500.0,5,150.0
Other,1060.0,2,60.0
Chandapura,645.0,1,16.45
Other,2600.0,8,180.0
Other,1644.0,3,84.0
Other,1285.0,2,72.5
Electronic City,1200.0,3,90.0
Electronic City,910.0,2,40.0
Kothanur,1577.0,3,70.0
Other,4050.0,3,280.0
OMBR Layout,2420.0,3,185.0
Chandapura,800.0,2,20.0
Other,1060.0,2,55.0
7th Phase JP Nagar,1270.0,2,93.0
Other,900.0,2,22.5
Other,1280.0,2,69.0
Horamavu Agara,1200.0,4,95.0
Sarjapur  Road,1025.0,2,36.0
Electronic City,1108.0,2,63.0
Other,1200.0,5,170.0
Other,3045.0,3,170.0
Ambedkar Nagar,2900.0,4,300.0
Vijayanagar,1500.0,3,75.5
Raja Rajeshwari Nagar,1295.0,2,43.9
Budigere,1162.0,2,59.9
Sarjapur  Road,1035.0,2,49.2
Attibele,1600.0,4,52.8
Other,1464.0,3,46.0
Hennur Road,1866.0,3,61.58
Other,700.0,2,26.0
Kalena Agrahara,1804.0,3,120.0
Sarjapur,913.0,2,32.0
Talaghattapura,1868.0,3,131.0
Kengeri Satellite Town,883.0,2,45.0
Other,900.0,2,110.0
Kogilu,1664.0,3,73.95
Hegde Nagar,2026.0,3,132.0
Balagere,1210.0,2,80.9
Other,4111.0,4,250.0
Kadugodi,1762.0,3,91.45
Jigani,1252.0,3,55.0
Gollarapalya Hosahalli,861.0,2,34.5
7th Phase JP Nagar,1420.0,3,100.0
Other,1450.0,6,250.0
Electronics City Phase 1,1490.0,3,78.8
Bisuvanahalli,1075.0,3,46.0
Old Madras Road,1425.0,3,94.0
Kalena Agrahara,1200.0,2,40.0
Kaggadasapura,1280.0,3,56.0
Other,1084.0,2,50.0
Chandapura,1015.0,2,25.88
Kanakpura Road,1017.0,2,51.25
Haralur Road,1027.0,2,44.0
Electronic City Phase II,1069.0,2,45.0
Hebbal,1349.0,2,98.2
9th Phase JP Nagar,1005.0,2,50.0
Jakkur,1417.0,2,75.0
TC Palaya,1475.0,3,98.0
Other,950.0,2,47.0
Other,2000.0,4,120.0
Giri Nagar,880.0,3,140.0
Sarjapur  Road,1863.0,4,104.0
Singasandra,1010.0,2,29.5
Kalena Agrahara,1425.0,3,70.0
Vijayanagar,1450.0,3,100.0
Kothanur,1847.0,3,105.0
AECS Layout,1100.0,2,45.0
Kanakpura Road,525.0,1,26.0
Mallasandra,1665.0,3,95.0
Begur,1664.0,4,65.0
JP Nagar,1850.0,3,150.0
Panathur,1438.0,2,100.0
Other,1560.0,3,115.0
Yelahanka,1350.0,2,55.55
Kanakpura Road,1550.0,3,67.0
Malleshpalya,1140.0,2,46.5
Other,1200.0,5,180.0
Other,850.0,2,27.0
Whitefield,1280.0,2,75.0
Munnekollal,1170.0,2,52.0
Other,1113.0,2,51.0
Hennur Road,1385.0,2,83.09
Electronic City,1128.0,2,65.0
Marathahalli,1200.0,2,128.0
Other,1200.0,4,165.0
Rajaji Nagar,2390.0,3,415.0
Giri Nagar,2400.0,4,400.0
Haralur Road,1464.0,3,56.0
Other,1200.0,2,55.0
Kaval Byrasandra,1200.0,2,52.0
Kaggalipura,1150.0,3,55.0
Other,1645.0,3,95.0
Sarjapur  Road,1000.0,2,67.0
Haralur Road,2650.0,4,198.0
6th Phase JP Nagar,1192.0,2,74.0
Ulsoor,2135.0,3,215.0
Whitefield,1173.0,2,58.0
Uttarahalli,1020.0,2,45.0
Thigalarapalya,3122.0,4,230.0
Somasundara Palya,1600.0,3,64.0
Other,1200.0,2,79.0
Other,1230.0,2,48.0
 Devarachikkanahalli,1250.0,2,40.0
Kalena Agrahara,1325.0,2,76.0
7th Phase JP Nagar,1850.0,3,150.0
Kanakpura Road,525.0,1,21.53
Basaveshwara Nagar,1200.0,2,65.0
Other,1350.0,3,140.0
Bommasandra,1260.0,3,49.36
Other,1800.0,3,150.0
Other,11.0,3,74.0
Ardendale,1100.0,2,43.25
Harlur,1508.0,2,77.0
Other,1592.0,3,75.0
Akshaya Nagar,1388.0,2,57.0
Electronic City Phase II,630.0,1,28.35
Other,2000.0,3,365.0
Other,1762.0,3,125.0
Other,950.0,2,50.0
Kodihalli,3252.0,4,335.0
Magadi Road,1116.0,2,50.0
Other,1308.0,2,89.04
Other,1500.0,4,230.0
Bannerghatta Road,500.0,1,18.5
Hennur,1075.0,2,52.0
Chandapura,530.0,1,11.66
Bellandur,1205.0,2,66.0
5th Phase JP Nagar,1075.0,2,60.0
KR Puram,930.0,2,39.0
Balagere,1380.0,2,60.0
Hebbal,2483.0,4,212.0
Kodigehaali,1166.0,2,55.0
Bannerghatta Road,1050.0,2,65.0
Other,2023.71,3,275.0
Begur Road,1200.0,2,46.8
Lakshminarayana Pura,1600.0,3,108.0
Billekahalli,1935.0,3,110.0
8th Phase JP Nagar,451.0,1,29.9
Electronic City,1800.0,3,95.0
Jalahalli,1400.0,3,77.0
Hegde Nagar,1801.0,3,115.0
Mahadevpura,1451.0,2,90.0
Anekal,1200.0,2,36.0
Begur Road,1160.0,2,44.0
Kengeri,1000.0,2,25.0
Kanakpura Road,950.0,2,40.0
Other,1629.0,3,79.0
Vijayanagar,1580.0,3,134.0
Vijayanagar,1826.0,3,121.0
7th Phase JP Nagar,1245.0,2,94.0
Raja Rajeshwari Nagar,1145.0,2,45.79
Sompura,825.0,2,33.0
Yeshwanthpur,1693.0,3,108.0
Electronics City Phase 1,1113.27,2,53.0
Other,1460.0,2,58.0
Doddathoguru,1050.0,2,32.0
Dodda Nekkundi,1260.0,2,55.0
Other,700.0,6,120.0
Hosur Road,1656.0,2,120.0
Chandapura,1208.0,3,45.0
Whitefield,1910.0,3,161.0
Whitefield,3252.0,4,230.0
Battarahalli,1200.0,2,65.0
Other,1200.0,4,175.0
7th Phase JP Nagar,1175.0,2,82.0
Other,1000.0,2,165.0
Bannerghatta Road,1200.0,4,125.0
Rajaji Nagar,2390.0,3,410.0
Rajaji Nagar,12000.0,7,2200.0
Sultan Palaya,550.0,2,62.0
Kengeri,1286.0,1,18.5
Other,1185.0,2,38.0
Kengeri,750.0,2,38.0
Mahalakshmi Layout,1200.0,6,250.0
Kanakpura Road,1550.0,3,64.5
Other,1760.0,3,88.0
Billekahalli,1125.0,2,62.0
Nagarbhavi,1350.0,3,150.0
Anandapura,1000.0,2,55.0
Bommasandra Industrial Area,1090.0,2,31.48
TC Palaya,1200.0,2,60.0
Budigere,1991.0,3,103.0
Bommasandra,1060.0,2,26.5
Ambalipura,1105.0,2,75.0
Hoodi,985.0,2,67.0
Chandapura,1533.0,6,85.0
Balagere,1590.0,3,79.0
CV Raman Nagar,1120.0,2,55.0
Other,1069.0,2,55.0
Marathahalli,1933.0,3,140.0
Hosur Road,1194.0,2,69.0
Brookefield,1150.0,2,69.0
Yelenahalli,1240.0,2,47.12
Raja Rajeshwari Nagar,1419.0,2,48.1
7th Phase JP Nagar,1200.0,8,250.0
Other,2150.0,3,240.0
Other,1450.0,3,55.0
Other,1630.0,3,68.29
Dasanapura,708.0,2,40.0
Kasavanhalli,1000.0,3,110.0
Whitefield,11890.0,4,700.0
Bellandur,1250.0,2,76.0
7th Phase JP Nagar,1400.0,3,95.0
Sarjapur  Road,1670.0,3,57.0
Ardendale,1750.0,3,100.0
Vittasandra,1404.0,2,71.0
Hoodi,1715.0,3,95.0
Electronic City,630.0,1,34.65
Harlur,1752.12,3,135.0
Hulimavu,1650.0,3,78.0
Raja Rajeshwari Nagar,1295.0,2,55.47
Giri Nagar,1800.0,3,252.0
Sarjapur  Road,1346.0,2,74.03
Other,1200.0,4,200.0
Hormavu,1150.0,2,55.0
Other,3309.0,4,325.0
Chandapura,1190.0,3,30.35
AECS Layout,1620.0,3,98.0
Marathahalli,950.0,2,46.96
Other,5000.0,11,360.0
Harlur,2450.0,3,120.0
Electronic City Phase II,1220.0,3,35.23
Other,850.0,2,30.0
Padmanabhanagar,1020.0,2,63.0
Chikkalasandra,1100.0,2,50.0
Other,1150.0,2,126.0
Hebbal,1760.0,3,130.0
Ambalipura,1800.0,3,110.0
Akshaya Nagar,1070.0,2,54.0
2nd Stage Nagarbhavi,1500.0,4,220.0
Vidyaranyapura,1440.0,2,95.0
Amruthahalli,900.0,2,40.0
Other,1200.0,4,230.0
Whitefield,1130.0,2,42.16
Koramangala,1320.0,2,165.0
Kodigehalli,1270.0,2,98.0
Other,1200.0,2,62.0
Other,4800.0,4,235.0
Other,1200.0,2,74.0
Subramanyapura,929.0,2,50.17
Other,1150.0,4,260.0
Basavangudi,1125.0,4,180.0
Kenchenahalli,500.0,5,65.0
Other,1200.0,5,190.0
Other,1464.0,3,56.0
7th Phase JP Nagar,3600.0,4,400.0
Other,2000.0,4,99.0
Chikkalasandra,1208.0,2,49.0
Hebbal Kempapura,1130.0,2,60.0
Other,1753.0,3,120.0
Old Madras Road,4500.0,5,337.0
Banjara Layout,600.0,3,58.0
Hoodi,1196.0,2,94.42
5th Phase JP Nagar,1150.0,2,52.5
Electronic City,1128.0,2,63.0
Other,1000.0,2,53.0
Yelahanka,1035.0,2,45.0
Kereguddadahalli,950.0,2,32.0
Bisuvanahalli,1075.0,3,36.0
Whitefield,1040.0,2,48.5
Other,720.0,2,45.0
Lingadheeranahalli,1511.0,3,95.0
Other,1300.0,3,58.0
Hoodi,1545.0,3,68.75
Shampura,375.0,1,26.0
Vidyaranyapura,1062.0,2,38.0
Other,1115.0,2,40.0
JP Nagar,1000.0,2,35.0
Kambipura,883.0,2,45.0
Sarjapur  Road,1195.0,2,70.0
Other,700.0,1,41.0
Vittasandra,1246.0,2,67.0
8th Phase JP Nagar,660.0,4,90.0
Banashankari Stage III,8500.0,4,145.0
Other,1600.0,4,80.0
Haralur Road,2805.0,4,154.0
Begur Road,1584.0,3,65.0
Sector 7 HSR Layout,3000.0,4,275.0
Hosur Road,1175.0,3,48.0
Other,1595.0,3,115.0
Other,1353.0,2,110.0
Electronic City,1599.0,3,125.0
Whitefield,1150.0,2,70.0
Jakkur,5230.0,4,465.0
KR Puram,1155.0,2,42.74
Other,1200.0,1,85.0
Electronic City Phase II,1000.0,2,25.0
Thanisandra,3000.0,4,120.0
Rajiv Nagar,1867.0,3,160.0
Ramagondanahalli,1251.0,2,47.0
Other,1028.0,2,45.5
Arekere,1222.0,2,45.0
Bannerghatta Road,1170.0,3,66.0
Hebbal,2400.0,3,245.0
Other,1385.0,3,48.48
HSR Layout,1372.0,2,68.0
Magadi Road,1282.0,3,49.0
Mico Layout,5000.0,9,210.0
Other,3000.0,5,528.0
Kanakpura Road,1135.0,2,39.73
Whitefield,1768.0,3,101.0
Other,1325.0,3,90.0
Electronic City,1599.0,3,99.0
Whitefield,1500.0,3,61.95
Other,2610.0,3,499.0
Uttarahalli,1286.0,2,63.0
Kammanahalli,2845.0,5,140.0
Other,1600.0,3,50.0
Hennur Road,1317.5,2,63.77
Hebbal,3450.0,3,260.0
Munnekollal,1102.0,2,53.67
Yelahanka,1350.0,2,54.0
Banashankari,1200.0,3,42.0
Hosa Road,1300.0,6,145.0
Other,1800.0,2,80.0
Chikkabanavar,950.0,2,40.0
Kanakpura Road,525.0,1,27.25
Attibele,656.0,2,25.0
Marathahalli,1780.0,4,175.0
Other,1056.0,2,80.0
Bannerghatta Road,595.0,1,33.32
Other,1080.0,2,50.0
7th Phase JP Nagar,2225.0,3,160.0
Bommasandra,1126.0,2,28.15
Electronics City Phase 1,1490.0,3,84.0
HRBR Layout,2000.0,4,300.0
Sarjapur  Road,1550.0,3,100.0
Whitefield,1600.0,3,86.0
Other,1160.0,2,55.0
Whitefield,4144.0,4,315.0
Sarjapur  Road,2100.0,3,125.0
Vittasandra,1404.0,2,69.3
Sarjapur  Road,2230.0,4,225.0
Other,1544.0,3,120.0
Banashankari Stage III,1305.0,3,58.7
Marathahalli,1230.0,2,80.0
Harlur,1460.0,3,73.0
Sarjapur  Road,1800.0,2,34.185
Gottigere,967.0,2,45.0
Other,540.0,1,36.0
Hormavu,715.0,1,46.0
Whitefield,2500.0,3,313.0
Other,1578.0,3,180.0
Mysore Road,1020.0,2,48.95
Jigani,1020.0,2,40.0
Koramangala,1253.0,2,102.0
Other,1180.0,2,42.0
Nehru Nagar,961.0,2,38.0
Kanakapura,1419.0,3,75.0
Harlur,1709.0,3,150.0
Other,1600.0,2,115.0
Other,416.0,1,18.5
Sanjay nagar,1100.0,2,98.0
HSR Layout,1430.0,3,65.0
Other,1260.0,2,45.0
Other,1630.0,3,85.0
Sarjapur  Road,1249.0,3,44.71
Kalena Agrahara,1450.0,3,85.0
Konanakunte,2791.0,3,223.0
Other,600.0,1,90.0
Other,834.0,1,60.0
Other,1125.0,3,70.0
Arekere,2060.0,3,140.0
Malleshwaram,12000.0,7,2200.0
Gottigere,891.0,2,25.0
Raja Rajeshwari Nagar,1133.0,2,49.07
Bisuvanahalli,1075.0,3,37.0
Other,3000.0,4,260.0
Brookefield,2440.0,4,425.0
Vidyaranyapura,1200.0,2,55.0
Thanisandra,1075.0,2,45.8
Kaggadasapura,1140.0,2,40.0
Margondanahalli,940.0,5,150.0
Other,2160.0,6,250.0
Raja Rajeshwari Nagar,1090.0,2,42.0
R.T. Nagar,1500.0,4,70.0
Whitefield,4104.0,4,360.0
Whitefield,1790.0,3,100.0
Hebbal,1920.0,3,134.0
HRBR Layout,1374.0,2,95.0
Bannerghatta Road,1445.0,3,95.0
Kanakapura,711.0,1,36.0
Tumkur Road,1500.0,3,95.0
Whitefield,1720.0,3,100.0
Vasanthapura,1400.0,3,60.0
Kundalahalli,1030.0,2,49.0
Mysore Road,1200.0,2,85.0
Other,1375.0,3,70.0
Hegde Nagar,1050.0,2,56.0
Jalahalli,2250.0,3,160.0
Bellandur,1000.0,2,50.0
Other,469.0,1,25.0
Marathahalli,3800.0,4,250.0
Kambipura,883.0,2,29.0
GM Palaya,1820.0,3,86.0
Singasandra,1440.0,3,65.0
Other,3600.0,6,160.0
Malleshwaram,2500.0,4,325.0
Mahadevpura,1225.0,2,48.0
Other,4000.0,3,660.0
Chikkalasandra,875.0,2,52.8
Jalahalli East,750.0,1,40.0
6th Phase JP Nagar,1180.0,2,80.0
Haralur Road,1194.0,2,47.0
Hennur Road,1500.0,3,62.0
Other,1160.0,2,52.2
Arekere,1286.0,9,265.0
Hosakerehalli,2378.0,3,262.0
Sarjapur,1128.0,2,60.0
Hebbal,1500.0,3,150.0
Other,1220.0,3,35.23
Sarjapur  Road,1210.0,2,58.0
Kanakpura Road,1100.0,3,58.0
Bommasandra,1200.0,3,46.0
Haralur Road,3385.0,4,260.0
Other,1641.0,3,66.0
Horamavu Agara,1200.0,2,45.0
Raja Rajeshwari Nagar,1260.0,2,67.39
Mahadevpura,1720.0,3,78.0
Yelahanka,1132.5,2,48.13
Yelahanka,1210.0,2,45.98
Indira Nagar,2200.0,4,200.0
Bisuvanahalli,1075.0,3,45.0
Thanisandra,1702.0,3,130.0
Other,1630.0,2,200.0
Raja Rajeshwari Nagar,1141.0,2,38.55
Other,2072.0,3,108.0
JP Nagar,5520.0,5,375.0
Other,1200.0,3,70.0
Other,1350.0,3,77.0
Other,4046.0,4,445.0
Other,1180.0,3,78.34
Yelahanka,35000.0,3,130.0
Other,1355.0,2,115.0
Other,600.0,1,50.0
Hormavu,1200.0,7,150.0
Bannerghatta Road,1640.0,3,120.0
Other,1200.0,5,100.0
Kodichikkanahalli,1190.0,3,57.0
OMBR Layout,2400.0,4,375.0
Marathahalli,1019.0,2,49.85
Other,1875.0,3,165.0
Akshaya Nagar,1250.0,3,40.0
Brookefield,1200.0,3,140.0
Whitefield,1140.0,2,56.0
Lingadheeranahalli,1683.0,3,109.0
Kaggadasapura,1515.0,3,83.3
Hoodi,2118.0,4,111.0
Bannerghatta Road,1380.0,4,58.0
Varthur Road,1083.0,2,61.75
Other,600.0,2,55.0
Other,2300.0,3,120.0
Other,1240.0,2,60.0
Other,1750.0,3,120.0
Other,1230.0,2,43.48
Anjanapura,1500.0,3,139.0
Abbigere,985.0,2,40.39
Tindlu,1500.0,3,87.0
Electronic City,1125.0,2,32.49
Other,950.0,2,44.0
JP Nagar,5600.0,5,548.5
Kothanur,1580.0,3,76.0
Other,1092.0,3,98.5
Electronic City Phase II,1090.0,2,28.34
Hennur Road,2264.0,3,159.0
Dommasandra,1033.0,3,25.53
Kammasandra,810.0,2,24.5
Other,1045.0,2,45.0
Hebbal,1337.0,2,82.0
Chandapura,1200.0,2,32.0
Koramangala,1580.0,3,160.0
Begur Road,1500.0,3,54.0
Whitefield,1640.0,3,91.0
Other,1570.0,3,62.0
Gubbalala,1470.0,3,82.0
Kengeri,1160.0,2,40.61
7th Phase JP Nagar,1050.0,2,71.0
Dairy Circle,1855.0,3,225.0
Bannerghatta Road,1460.0,3,90.0
Hulimavu,1823.0,3,100.0
Electronic City,1094.0,2,42.0
Budigere,1153.0,2,57.0
Other,1325.0,3,57.0
Other,1200.0,4,85.0
Jakkur,1590.0,3,125.0
Other,1210.0,5,160.0
Raja Rajeshwari Nagar,1200.0,4,220.0
Other,1202.0,2,48.0
Haralur Road,1202.0,2,53.0
Other,1200.0,2,62.5
Panathur,1688.0,3,118.0
Kaval Byrasandra,1020.0,2,52.0
Sarjapur,1185.0,2,47.0
Ramagondanahalli,1235.0,2,52.04
Hosakerehalli,3205.0,4,500.0
Banashankari,1077.0,2,37.64
Kengeri Satellite Town,1415.0,3,66.0
EPIP Zone,2330.0,3,162.0
Whitefield,805.0,2,35.0
Other,425.0,1,20.03
Whitefield,1155.0,2,59.95
Cunningham Road,5270.0,4,1250.0
Anekal,656.0,2,22.0
Mahadevpura,1150.0,2,52.0
Other,600.0,1,60.0
Other,1468.0,2,140.0
Other,4300.0,4,550.0
Whitefield,2280.0,3,126.0
Hegde Nagar,1341.0,2,97.0
Jakkur,1279.0,2,77.0
Electronic City Phase II,2225.0,4,98.88
Thanisandra,1185.0,2,43.51
Other,1750.0,3,85.0
Kudlu,1152.0,2,53.5
Other,1000.0,5,160.0
Hulimavu,1300.0,2,36.0
Varthur Road,2760.0,4,155.0
5th Phase JP Nagar,1070.0,2,39.0
Uttarahalli,1101.0,2,45.0
Other,775.0,2,55.0
Yeshwanthpur,667.0,1,36.85
Electronic City,1070.0,2,55.0
Old Airport Road,1875.0,3,110.0
Kundalahalli,735.0,2,57.99
Sarjapur,4360.0,5,90.0
Koramangala,1750.0,3,130.0
Marathahalli,1215.0,2,67.0
Other,600.0,9,190.0
Vishwapriya Layout,820.0,2,30.0
Banashankari Stage VI,1177.5,2,59.935
Battarahalli,1779.0,3,89.61
Other,1105.0,2,58.0
Other,1286.0,1,93.0
Whitefield,1650.0,3,60.0
Jalahalli,1694.0,2,150.0
Hosakerehalli,2376.0,3,203.0
Cox Town,1975.0,3,150.0
Kammasandra,674.0,2,33.0
Kaggadasapura,1185.0,2,41.0
Other,445.0,1,28.0
Other,900.0,6,76.0
HSR Layout,1475.0,3,75.0
Gottigere,1618.0,3,82.5
Koramangala,1120.0,2,65.0
Marathahalli,2181.0,4,152.0
Vidyaranyapura,1200.0,4,90.0
Other,600.0,6,65.0
Bannerghatta Road,1556.0,3,59.13
Bannerghatta Road,1179.0,2,66.02
Thanisandra,1296.0,2,83.0
Kaggadasapura,1275.0,2,52.0
Other,1875.0,7,300.0
Kathriguppe,1400.0,3,77.0
Gottigere,1222.0,2,63.0
