location,total_sqft,size,price,price_per_sqft
5th Phase JP Nagar,2500.0,5,11000000.0,4400.0
5th Phase JP Nagar,600.0,1,3000000.0,5000.0
5th Phase JP Nagar,1390.0,2,6500000.0,4676.258992805755
5th Phase JP Nagar,1220.0,2,8800000.0,7213.11475409836
5th Phase JP Nagar,1000.0,2,4800000.0,4800.0
5th Phase JP Nagar,1350.0,3,7500000.0,5555.555555555556
5th Phase JP Nagar,552.0,1,2350000.0,4257.246376811594
5th Phase JP Nagar,1200.0,2,5100000.0,4250.0
5th Phase JP Nagar,1240.0,3,6000000.0,4838.709677419355
5th Phase JP Nagar,1550.0,3,7500000.0,4838.709677419355
5th Phase JP Nagar,1485.0,3,6600000.0,4444.444444444444
5th Phase JP Nagar,1030.0,2,5700000.0,5533.980582524272
5th Phase JP Nagar,1200.0,2,6800000.0,5666.666666666667
5th Phase JP Nagar,1190.0,2,6180000.0,5193.27731092437
5th Phase JP Nagar,4000.0,5,17000000.0,4250.0
5th Phase JP Nagar,1080.0,2,5300000.0,4907.407407407408
5th Phase JP Nagar,1041.0,2,5400000.0,5187.319884726225
5th Phase JP Nagar,812.0,2,4200000.0,5172.413793103448
5th Phase JP Nagar,1010.0,2,5700000.0,5643.564356435643
5th Phase JP Nagar,1450.0,3,7300000.0,5034.482758620689
5th Phase JP Nagar,2500.0,7,9500000.0,3800.0
6th Phase JP Nagar,1192.0,2,7400000.0,6208.053691275168
6th Phase JP Nagar,1180.0,2,8000000.0,6779.661016949152
6th Phase JP Nagar,3245.0,4,25000000.0,7704.160246533128
6th Phase JP Nagar,1645.0,3,10000000.0,6079.0273556231
6th Phase JP Nagar,1280.0,2,5600000.0,4375.0
6th Phase JP Nagar,1140.0,2,6500000.0,5701.754385964912
6th Phase JP Nagar,600.0,1,7500000.0,12500.0
6th Phase JP Nagar,2040.0,3,20000000.0,9803.921568627451
6th Phase JP Nagar,1213.0,2,6300000.0,5193.734542456719
6th Phase JP Nagar,1350.0,3,5800000.0,4296.2962962962965
6th Phase JP Nagar,1170.0,2,12000000.0,10256.410256410256
6th Phase JP Nagar,1216.0,2,6000000.0,4934.210526315789
6th Phase JP Nagar,1460.0,2,8000000.0,5479.45205479452
6th Phase JP Nagar,2003.0,3,20000000.0,9985.022466300548
6th Phase JP Nagar,1250.0,3,4890000.0,3912.0
6th Phase JP Nagar,1810.0,3,13100000.0,7237.5690607734805
6th Phase JP Nagar,750.0,1,10500000.0,14000.0
6th Phase JP Nagar,1515.0,3,13500000.0,8910.89108910891
6th Phase JP Nagar,1192.0,2,7500000.0,6291.946308724832
6th Phase JP Nagar,1280.0,2,8800000.0,6875.0
7th Phase JP Nagar,1000.0,2,3800000.0,3800.0
7th Phase JP Nagar,1080.0,2,7200000.0,6666.666666666667
7th Phase JP Nagar,1270.0,2,9300000.0,7322.834645669292
7th Phase JP Nagar,1420.0,3,10000000.0,7042.2535211267605
7th Phase JP Nagar,1850.0,3,15000000.0,8108.108108108108
7th Phase JP Nagar,1245.0,2,9400000.0,7550.2008032128515
7th Phase JP Nagar,1175.0,2,8200000.0,6978.723404255319
7th Phase JP Nagar,1400.0,3,9500000.0,6785.714285714285
7th Phase JP Nagar,2225.0,3,16000000.0,7191.011235955056
7th Phase JP Nagar,1050.0,2,7100000.0,6761.9047619047615
7th Phase JP Nagar,1100.0,2,4600000.0,4181.818181818182
7th Phase JP Nagar,918.0,2,5049000.0,5500.0
7th Phase JP Nagar,1450.0,3,10000000.0,6896.551724137931
7th Phase JP Nagar,1040.0,2,3952000.0000000005,3800.0000000000005
7th Phase JP Nagar,1070.0,2,4279000.0,3999.0654205607475
7th Phase JP Nagar,1190.0,2,4998000.0,4200.0
7th Phase JP Nagar,1420.0,3,9600000.0,6760.56338028169
7th Phase JP Nagar,1680.0,3,12000000.0,7142.857142857143
7th Phase JP Nagar,1050.0,2,4200000.0,4000.0
7th Phase JP Nagar,980.0,2,6900000.0,7040.816326530612
7th Phase JP Nagar,1035.0,2,4139000.0,3999.0338164251207
7th Phase JP Nagar,1370.0,2,5617000.0,4100.0
7th Phase JP Nagar,1180.0,2,7200000.0,6101.6949152542375
7th Phase JP Nagar,5080.0,6,45000000.0,8858.267716535433
7th Phase JP Nagar,1300.0,3,5200000.0,4000.0
7th Phase JP Nagar,1050.0,3,5700000.0,5428.571428571428
7th Phase JP Nagar,1343.0,3,5641000.0,4200.297840655249
7th Phase JP Nagar,1405.0,3,5901000.0,4200.0
7th Phase JP Nagar,1400.0,3,11500000.0,8214.285714285714
7th Phase JP Nagar,1075.0,2,4299000.0,3999.0697674418607
7th Phase JP Nagar,1100.0,2,4400000.0,4000.0
7th Phase JP Nagar,1270.0,2,8300000.0,6535.433070866142
7th Phase JP Nagar,3300.0,4,15000000.0,4545.454545454545
7th Phase JP Nagar,2503.0,4,18800000.0,7510.986815821015
7th Phase JP Nagar,2200.0,3,19000000.0,8636.363636363636
7th Phase JP Nagar,1035.0,2,3933000.0,3800.0
7th Phase JP Nagar,1250.0,3,6500000.0,5200.0
7th Phase JP Nagar,1385.0,3,5817000.0,4200.0
7th Phase JP Nagar,1575.0,3,11000000.0,6984.126984126984
7th Phase JP Nagar,1850.0,3,14000000.0,7567.5675675675675
7th Phase JP Nagar,1370.0,3,5479000.0,3999.2700729927005
7th Phase JP Nagar,4800.0,7,17000000.0,3541.6666666666665
7th Phase JP Nagar,1575.0,3,12000000.0,7619.047619047619
7th Phase JP Nagar,1212.0,2,4200000.0,3465.3465346534654
7th Phase JP Nagar,1175.0,2,8250000.0,7021.276595744681
7th Phase JP Nagar,3300.0,3,16000000.0,4848.484848484848
7th Phase JP Nagar,2200.0,3,10500000.0,4772.727272727273
7th Phase JP Nagar,1215.0,2,9000000.0,7407.407407407408
7th Phase JP Nagar,1050.0,2,7500000.0,7142.857142857143
7th Phase JP Nagar,1300.0,3,8913000.0,6856.153846153846
7th Phase JP Nagar,1130.0,2,7300000.0,6460.1769911504425
7th Phase JP Nagar,1350.0,3,5800000.0,4296.2962962962965
7th Phase JP Nagar,1050.0,2,5000000.0,4761.9047619047615
7th Phase JP Nagar,1275.0,2,8700000.0,6823.529411764706
7th Phase JP Nagar,1460.0,3,7000000.0,4794.520547945205
7th Phase JP Nagar,1650.0,3,11000000.0,6666.666666666667
7th Phase JP Nagar,850.0,2,4200000.0,4941.176470588235
7th Phase JP Nagar,1680.0,3,11700000.0,6964.285714285715
7th Phase JP Nagar,1236.0,2,6133000.0,4961.974110032363
7th Phase JP Nagar,1000.0,2,5300000.0,5300.0
7th Phase JP Nagar,1680.0,3,12500000.0,7440.476190476191
7th Phase JP Nagar,1675.0,3,13500000.0,8059.701492537313
7th Phase JP Nagar,1187.0,2,5900000.0,4970.513900589722
7th Phase JP Nagar,1850.0,3,15500000.0,8378.378378378378
7th Phase JP Nagar,1000.0,2,6100000.0,6100.0
7th Phase JP Nagar,1460.0,3,10000000.0,6849.315068493151
7th Phase JP Nagar,1200.0,2,6250000.0,5208.333333333333
7th Phase JP Nagar,1000.0,2,7065000.000000001,7065.000000000001
7th Phase JP Nagar,1070.0,2,4200000.0,3925.233644859813
7th Phase JP Nagar,1080.0,2,7500000.0,6944.444444444444
7th Phase JP Nagar,2100.0,3,20000000.0,9523.809523809523
7th Phase JP Nagar,1415.0,3,6500000.0,4593.639575971732
7th Phase JP Nagar,1040.0,2,4159000.0000000005,3999.038461538462
7th Phase JP Nagar,1460.0,3,9700000.0,6643.835616438356
7th Phase JP Nagar,1120.0,2,6500000.0,5803.571428571428
7th Phase JP Nagar,1100.0,2,6000000.0,5454.545454545455
7th Phase JP Nagar,1790.0,3,12000000.0,6703.91061452514
7th Phase JP Nagar,1050.0,2,7700000.0,7333.333333333333
7th Phase JP Nagar,1174.0,2,4700000.0,4003.4071550255535
7th Phase JP Nagar,1040.0,2,7500000.0,7211.538461538462
7th Phase JP Nagar,1800.0,3,13000000.0,7222.222222222223
7th Phase JP Nagar,1050.0,2,6800000.0,6476.190476190476
7th Phase JP Nagar,1400.0,3,5700000.0,4071.4285714285716
7th Phase JP Nagar,1000.0,2,6000000.0,6000.0
7th Phase JP Nagar,980.0,2,8600000.0,8775.510204081633
7th Phase JP Nagar,1050.0,2,7747000.0,7378.0952380952385
7th Phase JP Nagar,1270.0,2,8000000.0,6299.212598425197
7th Phase JP Nagar,1463.0,3,6145000.0,4200.273410799727
7th Phase JP Nagar,1680.0,3,12200000.0,7261.9047619047615
7th Phase JP Nagar,1130.0,2,8500000.0,7522.123893805309
7th Phase JP Nagar,1680.0,3,13000000.0,7738.0952380952385
7th Phase JP Nagar,2000.0,3,7700000.0,3850.0
7th Phase JP Nagar,2980.0,3,26000000.0,8724.832214765102
7th Phase JP Nagar,980.0,2,7744000.0,7902.040816326531
7th Phase JP Nagar,1680.0,3,11200000.0,6666.666666666667
7th Phase JP Nagar,1515.0,3,7600000.0,5016.501650165016
7th Phase JP Nagar,2095.0,3,15000000.0,7159.904534606205
7th Phase JP Nagar,3200.0,4,35000000.0,10937.5
7th Phase JP Nagar,1976.0,3,14500000.0,7338.056680161943
7th Phase JP Nagar,1600.0,3,11000000.0,6875.0
7th Phase JP Nagar,1765.0,3,11800000.0,6685.552407932011
7th Phase JP Nagar,1275.0,3,8800000.0,6901.9607843137255
7th Phase JP Nagar,1450.0,3,10200000.0,7034.482758620689
7th Phase JP Nagar,1075.0,3,5700000.0,5302.325581395349
7th Phase JP Nagar,750.0,1,4700000.0,6266.666666666667
7th Phase JP Nagar,990.0,2,5000000.0,5050.50505050505
7th Phase JP Nagar,1000.0,1,6000000.0,6000.0
7th Phase JP Nagar,1286.0,2,5100000.0,3965.7853810264387
7th Phase JP Nagar,1680.0,3,9200000.0,5476.190476190476
7th Phase JP Nagar,1430.0,3,10200000.0,7132.867132867133
7th Phase JP Nagar,1128.0,2,6000000.0,5319.148936170212
7th Phase JP Nagar,2100.0,3,19000000.0,9047.619047619048
7th Phase JP Nagar,1140.0,2,5700000.0,5000.0
7th Phase JP Nagar,1420.0,3,9000000.0,6338.028169014085
7th Phase JP Nagar,1530.0,2,10800000.0,7058.823529411765
8th Phase JP Nagar,1073.5,2,5400500.0,5030.740568234746
8th Phase JP Nagar,451.0,1,2990000.0,6629.711751662971
8th Phase JP Nagar,1240.0,3,4350000.0,3508.064516129032
8th Phase JP Nagar,1062.0,2,4247000.0,3999.0583804143125
8th Phase JP Nagar,1230.0,3,4350000.0,3536.5853658536585
8th Phase JP Nagar,1455.0,3,7331000.0,5038.487972508591
8th Phase JP Nagar,871.0,2,5500000.0,6314.580941446613
8th Phase JP Nagar,1098.0,2,4391000.0,3999.089253187614
8th Phase JP Nagar,1800.0,3,8000000.0,4444.444444444444
8th Phase JP Nagar,2700.0,4,13000000.0,4814.814814814815
8th Phase JP Nagar,1080.0,2,3800000.0,3518.5185185185187
8th Phase JP Nagar,1059.0,2,3450000.0,3257.790368271955
8th Phase JP Nagar,1080.0,2,3500000.0,3240.740740740741
8th Phase JP Nagar,1275.0,3,4150000.0,3254.901960784314
8th Phase JP Nagar,500.0,1,3100000.0,6200.0
8th Phase JP Nagar,1100.0,2,3500000.0,3181.818181818182
8th Phase JP Nagar,2100.0,4,9200000.0,4380.952380952381
8th Phase JP Nagar,1035.0,2,3933000.0,3800.0
8th Phase JP Nagar,909.0,2,4090000.0,4499.4499449945
8th Phase JP Nagar,1431.5,3,7202000.0,5031.086273140063
8th Phase JP Nagar,1900.0,3,9000000.0,4736.8421052631575
8th Phase JP Nagar,500.0,1,3000000.0,6000.0
8th Phase JP Nagar,1125.0,2,3694000.0,3283.5555555555557
8th Phase JP Nagar,1089.0,2,4355000.0,3999.0817263544536
8th Phase JP Nagar,1605.0,3,6500000.0,4049.8442367601247
8th Phase JP Nagar,1504.0,3,8300000.0,5518.617021276596
8th Phase JP Nagar,2600.0,4,11500000.0,4423.076923076923
8th Phase JP Nagar,1368.0,3,5471000.0,3999.2690058479534
8th Phase JP Nagar,1224.0,3,4895000.0,3999.1830065359477
8th Phase JP Nagar,1513.0,2,6200000.0,4097.818902842036
8th Phase JP Nagar,1298.0,2,5900000.0,4545.454545454545
8th Phase JP Nagar,1006.0,2,4400000.0,4373.75745526839
8th Phase JP Nagar,500.0,1,3300000.0,6600.0
8th Phase JP Nagar,1245.0,2,5900000.0,4738.955823293173
8th Phase JP Nagar,1510.0,2,8000000.0,5298.013245033113
8th Phase JP Nagar,3300.0,3,16500000.0,5000.0
8th Phase JP Nagar,1730.0,5,7500000.0,4335.260115606937
8th Phase JP Nagar,1296.0,3,5183000.0,3999.2283950617284
8th Phase JP Nagar,1275.0,3,4500000.0,3529.4117647058824
8th Phase JP Nagar,1046.0,2,4800000.0,4588.910133843212
8th Phase JP Nagar,1269.0,3,5075000.0,3999.211977935382
8th Phase JP Nagar,1408.0,3,8000000.0,5681.818181818182
8th Phase JP Nagar,1500.0,3,5500000.0,3666.6666666666665
9th Phase JP Nagar,1005.0,2,5000000.0,4975.124378109453
9th Phase JP Nagar,1890.0,3,8500000.0,4497.354497354498
9th Phase JP Nagar,1100.0,2,6500000.0,5909.090909090909
9th Phase JP Nagar,1080.0,2,3700000.0,3425.925925925926
9th Phase JP Nagar,1035.0,2,4500000.0,4347.826086956522
9th Phase JP Nagar,5000.0,4,29000000.0,5800.0
9th Phase JP Nagar,1164.0,2,5600000.0,4810.996563573884
9th Phase JP Nagar,1005.0,2,4200000.0,4179.104477611941
9th Phase JP Nagar,1127.0,2,5000000.0,4436.557231588287
9th Phase JP Nagar,1005.0,2,4300000.0,4278.606965174129
9th Phase JP Nagar,835.0,2,3700000.0,4431.137724550898
9th Phase JP Nagar,1050.0,2,3900000.0,3714.285714285714
9th Phase JP Nagar,660.0,2,2700000.0,4090.909090909091
9th Phase JP Nagar,600.0,1,2000000.0,3333.3333333333335
9th Phase JP Nagar,1466.0,2,7100000.0,4843.110504774898
9th Phase JP Nagar,1890.0,3,9300000.0,4920.6349206349205
9th Phase JP Nagar,1079.0,2,6000000.0,5560.704355885079
9th Phase JP Nagar,1480.0,2,8000000.0,5405.405405405405
9th Phase JP Nagar,1200.0,2,8000000.0,6666.666666666667
9th Phase JP Nagar,905.0,2,3200000.0,3535.9116022099447
9th Phase JP Nagar,1073.0,2,5236000.0,4879.77632805219
9th Phase JP Nagar,1719.3,3,8800000.0,5118.362124120282
9th Phase JP Nagar,1780.0,3,8800000.0,4943.820224719101
9th Phase JP Nagar,1300.0,3,5800000.0,4461.538461538462
9th Phase JP Nagar,1522.0,3,9000000.0,5913.272010512484
9th Phase JP Nagar,1571.0,3,6500000.0,4137.492043284532
9th Phase JP Nagar,1900.0,4,8000000.0,4210.526315789473
9th Phase JP Nagar,890.0,2,4500000.0,5056.179775280899
9th Phase JP Nagar,1240.0,3,3989000.0,3216.935483870968
9th Phase JP Nagar,5000.0,4,30000000.0,6000.0
9th Phase JP Nagar,1240.0,3,4285000.0,3455.6451612903224
9th Phase JP Nagar,1050.0,2,3500000.0,3333.3333333333335
9th Phase JP Nagar,1331.95,2,6900000.0,5180.374638687638
AECS Layout,1100.0,2,4500000.0,4090.909090909091
AECS Layout,1620.0,3,9800000.0,6049.382716049383
AECS Layout,1028.0,2,4200000.0,4085.603112840467
AECS Layout,1199.0,2,6500000.0,5421.184320266889
AECS Layout,1080.0,2,5500000.0,5092.592592592592
AECS Layout,1800.0,3,6500000.0,3611.1111111111113
AECS Layout,1045.0,2,3658000.0,3500.4784688995214
AECS Layout,1123.0,2,6400000.0,5699.020480854853
AECS Layout,1308.0,2,6000000.0,4587.155963302752
AECS Layout,1135.0,2,6800000.0,5991.1894273127755
AECS Layout,1005.0,2,5500000.0,5472.636815920398
AECS Layout,2000.0,3,9000000.0,4500.0
Abbigere,985.0,2,4039000.0,4100.507614213198
Abbigere,2200.0,6,6800000.0,3090.909090909091
Abbigere,765.0,1,3000000.0,3921.5686274509803
Abbigere,880.0,2,3500000.0,3977.2727272727275
Abbigere,795.0,2,3254000.0,4093.0817610062895
Abbigere,1005.0,2,3959000.0000000005,3939.303482587065
Abbigere,734.0,1,1982000.0,2700.272479564033
Abbigere,1260.0,3,4500000.0,3571.4285714285716
Abbigere,1020.0,2,4182000.0,4100.0
Abbigere,1326.0,3,3479999.9999999995,2624.434389140271
Abbigere,1326.0,3,3500000.0,2639.517345399698
Abbigere,2500.0,6,8100000.0,3240.0
Abbigere,1130.0,2,4633000.0,4100.0
Abbigere,795.0,2,3260000.0,4100.62893081761
Abbigere,3000.0,8,15000000.0,5000.0
Abbigere,985.0,2,3892000.0,3951.269035532995
Abbigere,1000.0,2,4100000.0,4100.0
Abbigere,995.0,2,4079999.9999999995,4100.5025125628135
Abbigere,1020.0,2,4079999.9999999995,3999.9999999999995
Akshaya Nagar,1388.0,2,5700000.0,4106.628242074928
Akshaya Nagar,1070.0,2,5400000.0,5046.728971962617
Akshaya Nagar,1250.0,3,4000000.0,3200.0
Akshaya Nagar,1280.0,2,5800000.0,4531.25
Akshaya Nagar,1662.0,3,8510000.0,5120.336943441636
Akshaya Nagar,1897.0,3,12000000.0,6325.77754348972
Akshaya Nagar,1410.0,3,7500000.0,5319.148936170212
Akshaya Nagar,1360.0,3,8500000.0,6250.0
Akshaya Nagar,1600.0,3,6500000.0,4062.5
Akshaya Nagar,1410.0,3,8000000.0,5673.758865248227
Akshaya Nagar,1662.0,3,8500000.0,5114.320096269555
Akshaya Nagar,1662.0,3,8550000.0,5144.404332129964
Akshaya Nagar,1280.0,2,6000000.0,4687.5
Akshaya Nagar,1666.0,3,9500000.0,5702.280912364946
Akshaya Nagar,1575.0,3,9000000.0,5714.285714285715
Akshaya Nagar,1430.0,3,7500000.0,5244.755244755244
Akshaya Nagar,1419.0,3,7300000.0,5144.46793516561
Akshaya Nagar,1200.0,2,5000000.0,4166.666666666667
Akshaya Nagar,1092.0,2,6000000.0,5494.505494505494
Akshaya Nagar,1690.0,3,8500000.0,5029.585798816568
Akshaya Nagar,1700.0,3,8000000.0,4705.882352941177
Akshaya Nagar,1897.0,3,9300000.0,4902.477596204533
Akshaya Nagar,1884.0,3,9800000.0,5201.698513800425
Akshaya Nagar,1551.0,3,6000000.0,3868.4719535783365
Akshaya Nagar,1314.0,2,6880000.0,5235.920852359209
Akshaya Nagar,1265.0,2,6700000.0,5296.442687747036
Akshaya Nagar,1126.0,2,5500000.0,4884.547069271758
Akshaya Nagar,2300.0,3,10200000.0,4434.782608695652
Akshaya Nagar,1662.0,3,9000000.0,5415.162454873646
Akshaya Nagar,1420.0,3,7500000.0,5281.69014084507
Akshaya Nagar,1435.0,3,5300000.0,3693.3797909407667
Akshaya Nagar,1412.0,3,8800000.0,6232.294617563739
Akshaya Nagar,1434.0,3,8400000.0,5857.740585774059
Akshaya Nagar,1890.0,3,10000000.0,5291.005291005291
Akshaya Nagar,2650.0,3,12500000.0,4716.981132075472
Akshaya Nagar,1419.0,3,8700000.0,6131.0782241014795
Akshaya Nagar,1300.0,2,5400000.0,4153.846153846154
Akshaya Nagar,1000.0,2,3800000.0,3800.0
Akshaya Nagar,1113.0,2,5200000.0,4672.057502246182
Akshaya Nagar,1820.0,3,9500000.0,5219.780219780219
Akshaya Nagar,1100.0,2,4800000.0,4363.636363636364
Akshaya Nagar,1896.0,3,10200000.0,5379.7468354430375
Akshaya Nagar,1300.0,2,6600000.0,5076.923076923077
Akshaya Nagar,1225.0,2,6800000.0,5551.0204081632655
Akshaya Nagar,1179.0,2,5100000.0,4325.699745547074
Akshaya Nagar,1421.0,3,7300000.0,5137.227304714989
Akshaya Nagar,1200.0,2,4500000.0,3750.0
Akshaya Nagar,1893.0,3,9500000.0,5018.489170628632
Akshaya Nagar,900.0,2,4500000.0,5000.0
Ambalipura,1105.0,2,7500000.0,6787.330316742082
Ambalipura,1800.0,3,11000000.0,6111.111111111111
Ambalipura,1150.0,2,8000000.0,6956.521739130435
Ambalipura,1250.0,2,6625000.0,5300.0
Ambalipura,1332.0,2,7900000.0,5930.930930930931
Ambalipura,1730.0,3,12000000.0,6936.416184971098
Ambalipura,896.0,2,3013000.0,3362.723214285714
Ambalipura,3500.0,3,19800000.0,5657.142857142857
Ambalipura,1230.0,2,6625000.0,5386.178861788618
Ambalipura,1351.0,2,7700000.0,5699.481865284974
Ambalipura,2550.0,4,14900000.0,5843.137254901961
Ambalipura,950.0,2,3195000.0,3363.157894736842
Ambalipura,1625.0,3,14500000.0,8923.076923076924
Ambalipura,1817.0,3,10200000.0,5613.648871766648
Ambalipura,2750.0,4,14200000.0,5163.636363636364
Ambalipura,1303.0,2,8000000.0,6139.677666922486
Ambalipura,1607.0,3,11200000.0,6969.508400746733
Ambalipura,770.0,1,4382000.0,5690.909090909091
Ambalipura,860.0,2,2893000.0,3363.953488372093
Ambalipura,1700.0,2,7600000.0,4470.588235294118
Ambalipura,1060.0,2,5850000.0,5518.867924528302
Ambalipura,1650.0,3,10000000.0,6060.606060606061
Ambalipura,1198.0,2,8000000.0,6677.79632721202
Ambedkar Nagar,1935.0,3,13000000.0,6718.3462532299745
Ambedkar Nagar,1424.0,2,9000000.0,6320.224719101124
Ambedkar Nagar,2225.0,3,16900000.0,7595.505617977528
Ambedkar Nagar,1862.0,3,12000000.0,6444.68313641246
Ambedkar Nagar,1850.0,3,13900000.0,7513.513513513513
Ambedkar Nagar,1936.0,3,12600000.0,6508.264462809917
Ambedkar Nagar,1862.0,3,11900000.0,6390.977443609023
Ambedkar Nagar,2150.0,3,12500000.0,5813.953488372093
Ambedkar Nagar,3530.0,4,29000000.0,8215.297450424929
Ambedkar Nagar,1856.0,3,12000000.0,6465.517241379311
Ambedkar Nagar,1852.0,3,13000000.0,7019.438444924406
Ambedkar Nagar,1850.0,3,12000000.0,6486.486486486487
Ambedkar Nagar,1367.0,2,8600000.0,6291.148500365764
Ambedkar Nagar,3565.0,4,25500000.0,7152.875175315568
Ambedkar Nagar,1409.0,2,9500000.0,6742.370475514549
Ambedkar Nagar,1950.0,3,12000000.0,6153.846153846154
Ambedkar Nagar,1921.0,3,12900000.0,6715.252472670484
Ambedkar Nagar,1920.0,3,12100000.0,6302.083333333333
Ambedkar Nagar,1935.0,3,12500000.0,6459.948320413437
Ambedkar Nagar,1852.0,3,12200000.0,6587.473002159827
Ambedkar Nagar,1852.0,3,12500000.0,6749.460043196545
Ambedkar Nagar,1850.0,3,12100000.0,6540.540540540541
Ambedkar Nagar,1425.0,2,9400000.0,6596.491228070176
Ambedkar Nagar,2395.0,3,15000000.0,6263.048016701461
Amruthahalli,900.0,2,4000000.0,4444.444444444444
Amruthahalli,1200.0,2,5500000.0,4583.333333333333
Amruthahalli,1900.0,3,13500000.0,7105.263157894737
Amruthahalli,924.0,2,4500000.0,4870.12987012987
